 title=Pstar
 variables=x,y,Pstar
 zone i=           5 ,j=           5
 
   0.0000000000000000        0.0000000000000000        1.0000000000000000     
   8.3333333333333332E-003   0.0000000000000000                            NaN
   2.5000000000000001E-002   0.0000000000000000                            NaN
   4.1666666666666671E-002   0.0000000000000000                            NaN
   5.0000000000000003E-002   0.0000000000000000        1.0000000000000000     
   0.0000000000000000        8.3333333333333332E-003                       NaN
   8.3333333333333332E-003   8.3333333333333332E-003                       NaN
   2.5000000000000001E-002   8.3333333333333332E-003                       NaN
   4.1666666666666671E-002   8.3333333333333332E-003                       NaN
   5.0000000000000003E-002   8.3333333333333332E-003                       NaN
   0.0000000000000000        2.5000000000000001E-002                       NaN
   8.3333333333333332E-003   2.5000000000000001E-002                       NaN
   2.5000000000000001E-002   2.5000000000000001E-002                       NaN
   4.1666666666666671E-002   2.5000000000000001E-002                       NaN
   5.0000000000000003E-002   2.5000000000000001E-002                       NaN
   0.0000000000000000        4.1666666666666671E-002                       NaN
   8.3333333333333332E-003   4.1666666666666671E-002                       NaN
   2.5000000000000001E-002   4.1666666666666671E-002                       NaN
   4.1666666666666671E-002   4.1666666666666671E-002                       NaN
   5.0000000000000003E-002   4.1666666666666671E-002                       NaN
   0.0000000000000000        5.0000000000000003E-002   1.0000000000000000     
   8.3333333333333332E-003   5.0000000000000003E-002                       NaN
   2.5000000000000001E-002   5.0000000000000003E-002                       NaN
   4.1666666666666671E-002   5.0000000000000003E-002                       NaN
   5.0000000000000003E-002   5.0000000000000003E-002   1.0000000000000000     
