 title=T
 variables=x,y,T
 zone i=           5 ,j=           5
 
   0.0000000000000000        0.0000000000000000        25.081399999999999     
   8.3333333333333332E-003   0.0000000000000000                       Infinity
   2.5000000000000001E-002   0.0000000000000000                       Infinity
   4.1666666666666671E-002   0.0000000000000000                       Infinity
   5.0000000000000003E-002   0.0000000000000000        25.000000000000000     
   0.0000000000000000        8.3333333333333332E-003   25.081399999999999     
   8.3333333333333332E-003   8.3333333333333332E-003                  Infinity
   2.5000000000000001E-002   8.3333333333333332E-003                  Infinity
   4.1666666666666671E-002   8.3333333333333332E-003                  Infinity
   5.0000000000000003E-002   8.3333333333333332E-003   25.000000000000000     
   0.0000000000000000        2.5000000000000001E-002   25.081399999999999     
   8.3333333333333332E-003   2.5000000000000001E-002                  Infinity
   2.5000000000000001E-002   2.5000000000000001E-002                  Infinity
   4.1666666666666671E-002   2.5000000000000001E-002                  Infinity
   5.0000000000000003E-002   2.5000000000000001E-002   25.000000000000000     
   0.0000000000000000        4.1666666666666671E-002   25.081399999999999     
   8.3333333333333332E-003   4.1666666666666671E-002                  Infinity
   2.5000000000000001E-002   4.1666666666666671E-002                  Infinity
   4.1666666666666671E-002   4.1666666666666671E-002                  Infinity
   5.0000000000000003E-002   4.1666666666666671E-002   25.000000000000000     
   0.0000000000000000        5.0000000000000003E-002   25.081399999999999     
   8.3333333333333332E-003   5.0000000000000003E-002                  Infinity
   2.5000000000000001E-002   5.0000000000000003E-002                  Infinity
   4.1666666666666671E-002   5.0000000000000003E-002                  Infinity
   5.0000000000000003E-002   5.0000000000000003E-002   25.000000000000000     
