 title=Umag
 variables=x,y,Umag
 zone i=          21 ,j=          21
 
   0.0000000000000000        0.0000000000000000        0.0000000000000000     
   1.3157894736842105E-003   0.0000000000000000        0.0000000000000000     
   3.9473684210526317E-003   0.0000000000000000        0.0000000000000000     
   6.5789473684210523E-003   0.0000000000000000        0.0000000000000000     
   9.2105263157894728E-003   0.0000000000000000        0.0000000000000000     
   1.1842105263157893E-002   0.0000000000000000        0.0000000000000000     
   1.4473684210526314E-002   0.0000000000000000        0.0000000000000000     
   1.7105263157894735E-002   0.0000000000000000        0.0000000000000000     
   1.9736842105263157E-002   0.0000000000000000        0.0000000000000000     
   2.2368421052631579E-002   0.0000000000000000        0.0000000000000000     
   2.5000000000000001E-002   0.0000000000000000        0.0000000000000000     
   2.7631578947368424E-002   0.0000000000000000        0.0000000000000000     
   3.0263157894736846E-002   0.0000000000000000        0.0000000000000000     
   3.2894736842105268E-002   0.0000000000000000        0.0000000000000000     
   3.5526315789473691E-002   0.0000000000000000        0.0000000000000000     
   3.8157894736842113E-002   0.0000000000000000        0.0000000000000000     
   4.0789473684210535E-002   0.0000000000000000        0.0000000000000000     
   4.3421052631578957E-002   0.0000000000000000        0.0000000000000000     
   4.6052631578947380E-002   0.0000000000000000        0.0000000000000000     
   4.8684210526315802E-002   0.0000000000000000        0.0000000000000000     
   5.0000000000000003E-002   0.0000000000000000        0.0000000000000000     
   0.0000000000000000        1.3157894736842105E-003   0.0000000000000000     
   1.3157894736842105E-003   1.3157894736842105E-003   9131911.2203638460     
   3.9473684210526317E-003   1.3157894736842105E-003   490797691.96153492     
   6.5789473684210523E-003   1.3157894736842105E-003   996318025.83550417     
   9.2105263157894728E-003   1.3157894736842105E-003   349868366960782.38     
   1.1842105263157893E-002   1.3157894736842105E-003   2.7018581336654935E+023
   1.4473684210526314E-002   1.3157894736842105E-003   3.5533658478987562E+044
   1.7105263157894735E-002   1.3157894736842105E-003   6.3856213602844766E+045
   1.9736842105263157E-002   1.3157894736842105E-003   1.0639807523139887E+044
   2.2368421052631579E-002   1.3157894736842105E-003   2.5316963669183750E+043
   2.5000000000000001E-002   1.3157894736842105E-003   2.6957936144574592E+035
   2.7631578947368424E-002   1.3157894736842105E-003   6.2955376655557275E+031
   3.0263157894736846E-002   1.3157894736842105E-003   1.3825683734703313E+032
   3.2894736842105268E-002   1.3157894736842105E-003   3.5100939104394778E+036
   3.5526315789473691E-002   1.3157894736842105E-003   4.6353117066983326E+037
   3.8157894736842113E-002   1.3157894736842105E-003   1.5120327999578685E+039
   4.0789473684210535E-002   1.3157894736842105E-003   1.9200002251212198E+040
   4.3421052631578957E-002   1.3157894736842105E-003   1.9266121350976422E+042
   4.6052631578947380E-002   1.3157894736842105E-003   1.1620368132445724E+072
   4.8684210526315802E-002   1.3157894736842105E-003   2.1849182024575390E+034
   5.0000000000000003E-002   1.3157894736842105E-003   0.0000000000000000     
   0.0000000000000000        3.9473684210526317E-003   0.0000000000000000     
   1.3157894736842105E-003   3.9473684210526317E-003   260526055.10487267     
   3.9473684210526317E-003   3.9473684210526317E-003   543582439.14072931     
   6.5789473684210523E-003   3.9473684210526317E-003   611682728100599.62     
   9.2105263157894728E-003   3.9473684210526317E-003   2.2729885526411895E+019
   1.1842105263157893E-002   3.9473684210526317E-003   1.0902472291672101E+039
   1.4473684210526314E-002   3.9473684210526317E-003   1.6669931872387239E+046
